Designator,Mid X,Mid Y,Rotation,Layer
D55,113.74,-71.9129,45.0,top
D56,113.74,-74.4529,45.0,top
D57,113.74,-76.9929,45.0,top
D58,113.74,-79.5329,45.0,top
D59,115.91,-64.2929,45.0,top
D6,87.7,-74.4529,45.0,top
D60,115.91,-66.8329,45.0,top
D61,115.91,-69.3729,45.0,top
D62,115.91,-71.9129,45.0,top
D63,115.91,-74.4529,45.0,top
D64,115.91,-76.9929,45.0,top
D65,115.91,-79.5329,45.0,top
D66,118.08,-64.2929,45.0,top
D67,118.08,-66.8329,45.0,top
D68,118.08,-69.3729,45.0,top
D69,118.08,-71.9129,45.0,top
D7,87.7,-76.9929,45.0,top
D70,118.08,-74.4529,45.0,top
D71,118.08,-76.9929,45.0,top
D72,118.08,-79.5329,45.0,top
D74,131.1,-64.2929,45.0,top
D75,131.1,-66.8329,45.0,top
D76,131.1,-69.3729,45.0,top
D77,131.1,-71.9129,45.0,top
D78,131.1,-74.4529,45.0,top
D79,131.1,-76.9929,45.0,top
D8,87.7,-79.5329,45.0,top
D80,131.1,-79.5329,45.0,top
D81,133.27,-64.2929,45.0,top
D82,133.27,-66.8329,45.0,top
D83,133.27,-69.3729,45.0,top
D84,133.27,-71.9129,45.0,top
D85,133.27,-74.4529,45.0,top
D86,133.27,-76.9929,45.0,top
D87,133.27,-79.5329,45.0,top
D88,135.44,-64.2929,45.0,top
D89,135.44,-66.8329,45.0,top
D9,89.87,-64.2929,45.0,top
D90,135.44,-69.3729,45.0,top
D91,135.44,-71.9129,45.0,top
D92,135.44,-74.4529,45.0,top
D93,135.44,-76.9929,45.0,top
D94,135.44,-79.5329,45.0,top
D95,137.61,-64.2929,45.0,top
D96,137.61,-66.8329,45.0,top
D97,137.61,-69.3729,45.0,top
D98,137.61,-71.9129,45.0,top
D99,137.61,-74.4529,45.0,top
DI1,87.7,-82.0729,45.0,top
DI2,107.23,-82.0729,45.0,top
DI3,109.4,-82.0729,45.0,top
DI4,128.93,-82.0729,45.0,top
DI5,131.1,-82.0729,45.0,top
DI6,150.63,-82.0729,45.0,top
DI7,152.8,-82.0729,45.0,top
DI8,172.33,-82.0729,45.0,top
IC1,97.0,-86.2,270.0,top
IC2,119.0,-86.2,270.0,top
IC3,141.0,-86.2,270.0,top
IC4,163.0,-86.2,270.0,top
J1,155.5,-121.0,270.0,bottom
Q1,144.5,-106.2629,90.0,top
R1,136.21,-120.5,0.0,top
R10,98.0,-82.6,270.0,top
R11,121.1,-82.59,270.0,top
R12,120.0,-82.59,270.0,top
R2,136.2,-119.5,0.0,top
R3,147.3,-106.0,270.0,top
R4,141.7,-106.0,90.0,top
R5,165.1,-82.6,270.0,top
R6,164.0,-82.6,270.0,top
R7,143.1,-82.59,270.0,top
R8,142.0,-82.59,270.0,top
R9,99.1,-82.6,270.0,top
SW1,92.7169,-119.9151,315.0,top
SW2,99.6349,-119.9151,315.0,top
SW3,106.5529,-119.9151,315.0,top
SW4,113.4709,-119.9151,315.0,top
SW5,120.3889,-119.9151,315.0,top
SW6,127.3069,-119.9151,315.0,top
U1,110.5124,-104.521,90.0,top
U3,144.6,-115.2,180.0,top
